claim_id,sentiment_incident,sentiment_adjuster,sentiment_email,combined_sentiment,trigger_score,trigger_count,triggers_found,email_trigger_score,adjuster_negative_tone,nlp_risk_score
CLM-2023-10041,0.0,0.0,-1.0,-0.45,14,6,attorney; litigation; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2024-10042,0.0,-1.0,-1.0,-0.75,19,9,attorney; legal action; my attorney; doi complaint; unacceptable; bad faith; news; unreasonable; dispute,14,1,100.0
CLM-2024-10043,-1.0,-1.0,-1.0,-1.0,18,8,attorney; litigation; my attorney; doi complaint; demand; bad faith; unreasonable; dispute,13,1,100.0
CLM-2023-10044,0.0,0.0,-1.0,-0.45,4,3,escalate; dispute; independent appraisal,4,0,54.5
CLM-2023-10045,0.0,0.0,0.0,0.0,0,0,,0,0,10.0
CLM-2024-10046,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2023-10047,0.0,0.0,0.0,0.0,10,4,attorney; legal action; my attorney; dispute,9,0,100.0
CLM-2024-10048,0.0,0.0,-1.0,-0.45,14,6,attorney; litigation; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2024-10049,0.0,0.0,1.0,0.45,1,1,dispute,0,0,9.5
CLM-2024-10050,0.0,0.0,1.0,0.45,0,1,dispute,0,0,5.5
CLM-2022-10051,0.0,0.0,1.0,0.45,3,2,doi complaint; dispute,0,0,17.5
CLM-2024-10052,0.0,0.0,1.0,0.45,7,4,attorney; escalate; no response; dispute,1,0,39.5
CLM-2022-10053,1.0,0.0,1.0,0.7,0,1,dispute,0,0,3.0
CLM-2023-10054,1.0,0.0,1.0,0.7,0,1,dispute,0,0,3.0
CLM-2024-10055,0.0,0.0,1.0,0.45,0,1,dispute,0,0,5.5
CLM-2023-10056,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2022-10057,1.0,0.0,1.0,0.7,0,1,dispute,0,0,3.0
CLM-2024-10058,0.0,1.0,1.0,0.75,1,1,dispute,0,0,6.5
CLM-2023-10059,0.0,0.0,-1.0,-0.45,19,8,attorney; litigation; legal action; my attorney; unacceptable; demand; bad faith; news,14,0,100.0
CLM-2022-10060,0.0,0.0,1.0,0.45,4,3,attorney; escalate; dispute,0,0,21.5
CLM-2023-10061,0.0,0.0,1.0,0.45,0,1,dispute,0,0,5.5
CLM-2023-10062,0.0,-1.0,-1.0,-0.75,7,4,attorney; escalate; dispute; independent appraisal,4,1,79.5
CLM-2022-10063,1.0,0.0,1.0,0.7,0,1,dispute,0,0,3.0
CLM-2024-10064,0.0,1.0,0.0,0.3,0,1,dispute,0,0,7.0
CLM-2022-10065,-1.0,0.0,-1.0,-0.7,18,8,attorney; litigation; legal action; my attorney; unacceptable; bad faith; news; dispute,14,0,100.0
CLM-2023-10066,-1.0,0.0,-1.0,-0.7,14,6,attorney; litigation; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2022-10067,0.0,0.0,-1.0,-0.45,15,7,attorney; legal action; my attorney; unacceptable; bad faith; news; dispute,14,0,100.0
CLM-2024-10068,0.0,0.0,-1.0,-0.45,18,8,attorney; litigation; legal action; my attorney; unacceptable; bad faith; news; dispute,14,0,100.0
CLM-2024-10069,1.0,1.0,1.0,1.0,0,1,dispute,0,0,0.0
CLM-2023-10070,0.0,0.0,1.0,0.45,5,3,attorney; escalate; dispute,0,0,25.5
CLM-2023-10071,-1.0,-1.0,0.0,-0.55,15,6,attorney; sue; my attorney; doi complaint; bad faith; unreasonable,9,1,100.0
CLM-2022-10072,-1.0,-1.0,0.0,-0.55,19,8,attorney; litigation; sue; my attorney; demand; bad faith; escalate; dispute,9,1,100.0
CLM-2024-10073,-1.0,0.0,-1.0,-0.7,14,6,attorney; litigation; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2022-10074,0.0,1.0,0.0,0.3,0,1,dispute,0,0,7.0
CLM-2023-10075,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2023-10076,-1.0,-1.0,0.0,-0.55,18,7,attorney; legal action; sue; my attorney; doi complaint; bad faith; unreasonable,9,1,100.0
CLM-2024-10077,0.0,0.0,1.0,0.45,4,3,attorney; escalate; dispute,0,0,21.5
CLM-2022-10078,1.0,1.0,1.0,1.0,0,1,dispute,0,0,0.0
CLM-2024-10079,0.0,0.0,-1.0,-0.45,7,4,doi complaint; escalate; dispute; independent appraisal,4,0,66.5
CLM-2022-10080,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2023-10081,-1.0,0.0,-1.0,-0.7,14,6,attorney; litigation; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2024-10082,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2024-10083,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2024-10084,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2023-10085,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2023-10086,0.0,0.0,1.0,0.45,5,3,attorney; escalate; dispute,0,0,25.5
CLM-2024-10087,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2023-10088,0.0,-1.0,-1.0,-0.75,7,4,attorney; escalate; dispute; independent appraisal,4,1,79.5
CLM-2023-10089,1.0,1.0,0.0,0.55,0,1,dispute,0,0,4.5
CLM-2022-10090,0.0,0.0,0.0,0.0,13,5,attorney; litigation; sue; my attorney; dispute,9,0,100.0
CLM-2023-10091,0.0,-1.0,-1.0,-0.75,18,8,attorney; legal action; my attorney; doi complaint; unacceptable; bad faith; news; unreasonable,14,1,100.0
CLM-2022-10092,0.0,0.0,-1.0,-0.45,9,4,attorney; litigation; demand; dispute,8,0,98.5
CLM-2023-10093,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2024-10094,0.0,0.0,0.0,0.0,0,0,,0,0,10.0
CLM-2022-10095,0.0,-1.0,0.0,-0.3,16,7,attorney; sue; my attorney; doi complaint; bad faith; unreasonable; dispute,9,1,100.0
CLM-2024-10096,-1.0,0.0,-1.0,-0.7,14,6,attorney; litigation; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2024-10097,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2024-10098,0.0,0.0,1.0,0.45,5,3,attorney; escalate; dispute,0,0,25.5
CLM-2022-10099,-1.0,0.0,-1.0,-0.7,9,4,attorney; litigation; demand; dispute,8,0,100.0
CLM-2023-10100,0.0,0.0,0.0,0.0,0,0,,0,0,10.0
CLM-2024-10101,1.0,0.0,1.0,0.7,0,1,dispute,0,0,3.0
CLM-2024-10102,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2023-10103,0.0,0.0,1.0,0.45,3,2,doi complaint; dispute,0,0,17.5
CLM-2023-10104,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2024-10105,-1.0,-1.0,-1.0,-1.0,13,6,attorney; litigation; demand; bad faith; escalate; dispute,8,1,100.0
CLM-2022-10106,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2022-10107,0.0,0.0,0.0,0.0,13,5,attorney; litigation; legal action; my attorney; dispute,9,0,100.0
CLM-2024-10108,-1.0,0.0,0.0,-0.25,13,5,attorney; litigation; sue; my attorney; dispute,9,0,100.0
CLM-2022-10109,0.0,0.0,-1.0,-0.45,18,8,attorney; litigation; legal action; my attorney; unacceptable; bad faith; news; dispute,14,0,100.0
CLM-2023-10110,0.0,-1.0,1.0,0.15,2,1,attorney,0,1,26.5
CLM-2024-10111,0.0,0.0,0.0,0.0,0,0,,0,0,10.0
CLM-2024-10112,0.0,0.0,-1.0,-0.45,5,3,attorney; escalate; dispute,0,0,34.5
CLM-2024-10113,0.0,-1.0,-1.0,-0.75,14,6,attorney; litigation; doi complaint; demand; bad faith; unreasonable,8,1,100.0
CLM-2024-10114,0.0,-1.0,0.0,-0.3,18,7,attorney; litigation; sue; my attorney; demand; bad faith; escalate,9,1,100.0
CLM-2023-10115,0.0,0.0,1.0,0.45,4,2,attorney; escalate,0,0,21.5
CLM-2022-10116,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2024-10117,0.0,-1.0,1.0,0.15,3,2,attorney; dispute,0,1,30.5
CLM-2024-10118,0.0,1.0,1.0,0.75,1,1,dispute,0,0,6.5
CLM-2023-10119,0.0,0.0,-1.0,-0.45,4,2,attorney; escalate,0,0,30.5
CLM-2024-10120,0.0,0.0,-1.0,-0.45,13,5,attorney; litigation; my attorney; demand; bad faith,13,0,100.0
CLM-2022-10121,0.0,-1.0,-1.0,-0.75,12,5,attorney; litigation; demand; bad faith; escalate,8,1,100.0
CLM-2024-10122,0.0,0.0,1.0,0.45,0,2,dispute; independent appraisal,0,0,5.5
CLM-2022-10123,0.0,0.0,1.0,0.45,3,3,no response; dispute; independent appraisal,1,0,23.5
CLM-2023-10124,1.0,1.0,1.0,1.0,0,1,dispute,0,0,0.0
CLM-2022-10125,0.0,-1.0,-1.0,-0.75,21,9,attorney; litigation; legal action; my attorney; unacceptable; demand; bad faith; news; escalate,14,1,100.0
CLM-2023-10126,-1.0,0.0,1.0,0.2,6,3,attorney; fraud; escalate,0,0,32.0
CLM-2023-10127,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2023-10128,0.0,0.0,1.0,0.45,0,1,dispute,0,0,5.5
CLM-2022-10129,0.0,-1.0,0.0,-0.3,16,7,attorney; sue; my attorney; doi complaint; bad faith; unreasonable; dispute,9,1,100.0
CLM-2024-10130,0.0,0.0,-1.0,-0.45,7,4,attorney; escalate; dispute; independent appraisal,4,0,66.5
CLM-2024-10131,1.0,0.0,1.0,0.7,0,1,dispute,0,0,3.0
CLM-2023-10132,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2023-10133,0.0,-1.0,-1.0,-0.75,7,4,attorney; escalate; dispute; independent appraisal,4,1,79.5
CLM-2022-10134,-1.0,0.0,1.0,0.2,5,3,doi complaint; fraud; dispute,0,0,28.0
CLM-2022-10135,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2022-10136,0.0,-1.0,1.0,0.15,2,2,attorney; dispute,0,1,26.5
CLM-2024-10137,0.0,-1.0,1.0,0.15,2,1,attorney,0,1,26.5
CLM-2023-10138,0.0,0.0,-1.0,-0.45,4,3,escalate; dispute; independent appraisal,4,0,54.5
CLM-2024-10139,0.0,0.0,0.0,0.0,14,5,attorney; litigation; sue; my attorney; demand,9,0,100.0
CLM-2022-10140,-1.0,0.0,0.0,-0.25,10,4,attorney; sue; my attorney; dispute,9,0,100.0
CLM-2022-10141,0.0,0.0,-1.0,-0.45,19,8,attorney; litigation; legal action; my attorney; unacceptable; demand; bad faith; news,14,0,100.0
CLM-2022-10142,1.0,1.0,1.0,1.0,0,1,dispute,0,0,0.0
CLM-2023-10143,1.0,0.0,1.0,0.7,0,1,dispute,0,0,3.0
CLM-2023-10144,0.0,0.0,1.0,0.45,2,2,doi complaint; dispute,0,0,13.5
CLM-2022-10145,-1.0,0.0,1.0,0.2,5,4,fraud; no response; dispute; independent appraisal,1,0,34.0
CLM-2023-10146,0.0,0.0,1.0,0.45,0,2,dispute; independent appraisal,0,0,5.5
CLM-2022-10147,-1.0,-1.0,0.0,-0.55,19,8,attorney; litigation; legal action; my attorney; demand; bad faith; escalate; dispute,9,1,100.0
CLM-2023-10148,0.0,0.0,1.0,0.45,0,1,dispute,0,0,5.5
CLM-2024-10149,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2024-10150,-1.0,0.0,-1.0,-0.7,17,7,attorney; litigation; sue; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2024-10151,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2023-10152,1.0,0.0,1.0,0.7,0,1,dispute,0,0,3.0
CLM-2023-10153,0.0,0.0,0.0,0.0,0,0,,0,0,10.0
CLM-2022-10154,0.0,0.0,-1.0,-0.45,9,4,attorney; litigation; demand; dispute,8,0,98.5
CLM-2024-10155,1.0,0.0,1.0,0.7,0,1,dispute,0,0,3.0
CLM-2022-10156,0.0,0.0,-1.0,-0.45,14,6,attorney; litigation; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2023-10157,0.0,0.0,-1.0,-0.45,18,8,attorney; litigation; legal action; my attorney; unacceptable; bad faith; news; dispute,14,0,100.0
CLM-2024-10158,0.0,0.0,-1.0,-0.45,3,2,doi complaint; dispute,0,0,26.5
CLM-2024-10159,-1.0,0.0,-1.0,-0.7,14,6,attorney; litigation; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2024-10160,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2022-10161,-1.0,0.0,1.0,0.2,3,2,fraud; no response,1,0,26.0
CLM-2024-10162,0.0,0.0,-1.0,-0.45,14,6,attorney; litigation; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2022-10163,0.0,-1.0,0.0,-0.3,16,7,attorney; legal action; my attorney; doi complaint; bad faith; unreasonable; dispute,9,1,100.0
CLM-2024-10164,0.0,-1.0,-1.0,-0.75,15,6,attorney; litigation; my attorney; demand; bad faith; escalate,13,1,100.0
CLM-2023-10165,-1.0,-1.0,-1.0,-1.0,16,7,attorney; litigation; my attorney; demand; bad faith; escalate; dispute,13,1,100.0
CLM-2022-10166,0.0,-1.0,0.0,-0.3,16,7,attorney; legal action; my attorney; doi complaint; bad faith; unreasonable; dispute,9,1,100.0
CLM-2024-10167,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2024-10168,-1.0,-1.0,0.0,-0.55,18,7,attorney; litigation; legal action; my attorney; demand; bad faith; escalate,9,1,100.0
CLM-2023-10169,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2022-10170,0.0,-1.0,1.0,0.15,5,3,attorney; no response; dispute,1,1,44.5
CLM-2023-10171,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2024-10172,0.0,0.0,1.0,0.45,0,1,dispute,0,0,5.5
CLM-2024-10173,-1.0,0.0,-1.0,-0.7,14,6,attorney; litigation; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2023-10174,-1.0,0.0,0.0,-0.25,10,4,attorney; legal action; my attorney; dispute,9,0,100.0
CLM-2023-10175,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2024-10176,-1.0,-1.0,-1.0,-1.0,16,7,attorney; litigation; sue; demand; bad faith; escalate; dispute,8,1,100.0
CLM-2022-10177,-1.0,0.0,1.0,0.2,5,3,doi complaint; fraud; dispute,0,0,28.0
CLM-2024-10178,0.0,-1.0,-1.0,-0.75,2,1,attorney,0,1,35.5
CLM-2022-10179,-1.0,-1.0,-1.0,-1.0,14,6,attorney; litigation; doi complaint; demand; bad faith; unreasonable,8,1,100.0
CLM-2024-10180,0.0,0.0,0.0,0.0,0,0,,0,0,10.0
CLM-2023-10181,-1.0,0.0,1.0,0.2,3,2,fraud; no response,1,0,26.0
CLM-2023-10182,0.0,0.0,1.0,0.45,2,2,doi complaint; dispute,0,0,13.5
CLM-2024-10183,0.0,0.0,1.0,0.45,0,1,dispute,0,0,5.5
CLM-2024-10184,0.0,0.0,1.0,0.45,1,2,dispute; independent appraisal,0,0,9.5
CLM-2024-10185,0.0,0.0,0.0,0.0,0,0,,0,0,10.0
CLM-2022-10186,0.0,0.0,0.0,0.0,10,4,attorney; sue; my attorney; dispute,9,0,100.0
CLM-2023-10187,0.0,0.0,-1.0,-0.45,9,4,attorney; litigation; demand; dispute,8,0,98.5
CLM-2022-10188,0.0,-1.0,-1.0,-0.75,17,7,attorney; litigation; my attorney; doi complaint; demand; bad faith; unreasonable,13,1,100.0
CLM-2023-10189,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2023-10190,0.0,0.0,1.0,0.45,3,3,no response; dispute; independent appraisal,1,0,23.5
CLM-2024-10191,0.0,0.0,-1.0,-0.45,4,3,escalate; dispute; independent appraisal,4,0,54.5
CLM-2024-10192,-1.0,-1.0,0.0,-0.55,19,8,attorney; litigation; legal action; my attorney; demand; bad faith; escalate; dispute,9,1,100.0
CLM-2022-10193,0.0,0.0,0.0,0.0,13,5,attorney; litigation; sue; my attorney; dispute,9,0,100.0
CLM-2024-10194,0.0,0.0,-1.0,-0.45,9,4,attorney; litigation; demand; dispute,8,0,98.5
CLM-2023-10195,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2024-10196,-1.0,0.0,1.0,0.2,8,4,attorney; fraud; escalate; no response,1,0,46.0
CLM-2024-10197,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2023-10198,0.0,0.0,-1.0,-0.45,3,2,doi complaint; dispute,0,0,26.5
CLM-2024-10199,-1.0,0.0,-1.0,-0.7,9,4,attorney; litigation; demand; dispute,8,0,100.0
CLM-2022-10200,0.0,1.0,1.0,0.75,1,1,dispute,0,0,6.5
CLM-2024-10201,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2024-10202,0.0,0.0,1.0,0.45,4,2,attorney; escalate,0,0,21.5
CLM-2023-10203,0.0,0.0,-1.0,-0.45,9,4,attorney; litigation; demand; dispute,8,0,98.5
CLM-2023-10204,0.0,1.0,0.0,0.3,0,1,dispute,0,0,7.0
CLM-2024-10205,-1.0,0.0,-1.0,-0.7,9,4,attorney; litigation; demand; dispute,8,0,100.0
CLM-2023-10206,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2023-10207,-1.0,0.0,-1.0,-0.7,17,7,attorney; litigation; sue; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2022-10208,-1.0,0.0,-1.0,-0.7,14,6,attorney; litigation; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2024-10209,-1.0,0.0,-1.0,-0.7,14,6,attorney; litigation; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2022-10210,-1.0,0.0,-1.0,-0.7,14,6,attorney; litigation; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2023-10211,1.0,1.0,1.0,1.0,0,1,dispute,0,0,0.0
CLM-2022-10212,-1.0,-1.0,-1.0,-1.0,9,5,attorney; fraud; escalate; dispute; independent appraisal,4,1,90.0
CLM-2024-10213,0.0,0.0,0.0,0.0,14,5,attorney; litigation; legal action; my attorney; demand,9,0,100.0
CLM-2024-10214,-1.0,0.0,-1.0,-0.7,5,3,doi complaint; fraud; dispute,0,0,37.0
CLM-2022-10215,0.0,0.0,-1.0,-0.45,4,3,escalate; dispute; independent appraisal,4,0,54.5
CLM-2022-10216,1.0,0.0,1.0,0.7,0,1,dispute,0,0,3.0
CLM-2024-10217,-1.0,0.0,0.0,-0.25,13,5,attorney; legal action; sue; my attorney; dispute,9,0,100.0
CLM-2023-10218,0.0,1.0,0.0,0.3,0,1,dispute,0,0,7.0
CLM-2024-10219,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2022-10220,-1.0,-1.0,-1.0,-1.0,15,6,attorney; litigation; sue; demand; bad faith; escalate,8,1,100.0
CLM-2022-10221,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2023-10222,1.0,0.0,1.0,0.7,0,1,dispute,0,0,3.0
CLM-2022-10223,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2023-10224,0.0,1.0,0.0,0.3,0,1,dispute,0,0,7.0
CLM-2022-10225,0.0,0.0,-1.0,-0.45,15,7,attorney; legal action; my attorney; unacceptable; bad faith; news; dispute,14,0,100.0
CLM-2024-10226,0.0,1.0,0.0,0.3,0,1,dispute,0,0,7.0
CLM-2022-10227,0.0,1.0,0.0,0.3,0,1,dispute,0,0,7.0
CLM-2023-10228,0.0,0.0,-1.0,-0.45,1,2,dispute; independent appraisal,0,0,18.5
CLM-2024-10229,-1.0,-1.0,-1.0,-1.0,16,7,attorney; litigation; my attorney; demand; bad faith; escalate; dispute,13,1,100.0
CLM-2022-10230,0.0,0.0,1.0,0.45,0,1,dispute,0,0,5.5
CLM-2023-10231,0.0,0.0,1.0,0.45,0,1,dispute,0,0,5.5
CLM-2022-10232,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2022-10233,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2023-10234,0.0,0.0,1.0,0.45,5,3,doi complaint; no response; dispute,1,0,31.5
CLM-2023-10235,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2023-10236,0.0,1.0,0.0,0.3,0,1,dispute,0,0,7.0
CLM-2022-10237,0.0,1.0,0.0,0.3,0,1,dispute,0,0,7.0
CLM-2023-10238,0.0,0.0,0.0,0.0,10,4,attorney; legal action; my attorney; dispute,9,0,100.0
CLM-2024-10239,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2022-10240,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2024-10241,0.0,0.0,-1.0,-0.45,4,3,escalate; dispute; independent appraisal,4,0,54.5
CLM-2024-10242,-1.0,-1.0,-1.0,-1.0,15,7,attorney; litigation; doi complaint; demand; bad faith; unreasonable; dispute,8,1,100.0
CLM-2022-10243,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2024-10244,-1.0,-1.0,1.0,-0.1,3,2,attorney; fraud,0,1,33.0
CLM-2023-10245,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2022-10246,-1.0,0.0,-1.0,-0.7,15,7,attorney; legal action; my attorney; unacceptable; bad faith; news; dispute,14,0,100.0
CLM-2023-10247,0.0,0.0,0.0,0.0,0,0,,0,0,10.0
CLM-2024-10248,0.0,-1.0,1.0,0.15,2,2,attorney; dispute,0,1,26.5
CLM-2024-10249,0.0,-1.0,-1.0,-0.75,14,6,attorney; litigation; doi complaint; demand; bad faith; unreasonable,8,1,100.0
CLM-2023-10250,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2024-10251,0.0,0.0,0.0,0.0,0,1,dispute,0,0,10.0
CLM-2024-10252,0.0,0.0,-1.0,-0.45,0,1,dispute,0,0,14.5
CLM-2023-10253,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2022-10254,0.0,0.0,-1.0,-0.45,4,3,escalate; dispute; independent appraisal,4,0,54.5
CLM-2024-10255,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2022-10256,0.0,-1.0,-1.0,-0.75,21,9,attorney; litigation; legal action; my attorney; unacceptable; demand; bad faith; news; escalate,14,1,100.0
CLM-2022-10257,0.0,0.0,1.0,0.45,0,1,dispute,0,0,5.5
CLM-2022-10258,0.0,-1.0,-1.0,-0.75,12,5,attorney; litigation; demand; bad faith; escalate,8,1,100.0
CLM-2023-10259,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2023-10260,-1.0,-1.0,0.0,-0.55,18,7,attorney; litigation; sue; my attorney; demand; bad faith; escalate,9,1,100.0
CLM-2023-10261,0.0,-1.0,1.0,0.15,5,3,attorney; no response; dispute,1,1,44.5
CLM-2022-10262,0.0,0.0,1.0,0.45,4,3,attorney; escalate; dispute,0,0,21.5
CLM-2023-10263,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2022-10264,0.0,0.0,-1.0,-0.45,14,6,attorney; litigation; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2024-10265,0.0,0.0,0.0,0.0,0,0,,0,0,10.0
CLM-2022-10266,0.0,0.0,1.0,0.45,0,1,dispute,0,0,5.5
